gene	p_value	rank
piR-hsa-807188	0.018611457447641	272
piR-hsa-187077	0.0186271558513563	273
piR-hsa-2832095	0.0187062366553845	274
piR-hsa-148802	0.0187402576780235	275
hsa-mir-495	0.0190053369132047	276
hsa-let-7a-2	0.0193653538105632	277
piR-hsa-787811	0.01939841469577	278
piR-hsa-44273	0.0199437941283036	279
hsa-mir-378a	0.0200119516731845	280
piR-hsa-187041	0.0201078109470433	281
piR-hsa-803360	0.020232150527564	282
hsa-mir-374b	0.0203714449391007	283
piR-hsa-288562	0.0208999406827932	284
piR-hsa-775019	0.0212077884800068	285
piR-hsa-169799	0.021276279922942	286
piR-hsa-802687	0.0217335423199536	287
piR-hsa-133582	0.0218048526301691	288
piR-hsa-166592	0.0218362959916426	289
piR-hsa-427641	0.0219958995175574	290
piR-hsa-756856	0.0220812035208954	291
piR-hsa-193874	0.0221319634214312	292
piR-hsa-2832988	0.0221781206213747	293
piR-hsa-785096	0.0223146578684823	294
piR-hsa-797419	0.0223604015290293	295
piR-hsa-141191	0.022625986343967	296
hsa-mir-497	0.0226716021431817	297
piR-hsa-809190	0.022729427531384	298
piR-hsa-161845	0.0230255575772444	299
piR-hsa-751160	0.0232587616615615	300
hsa-mir-138-2	0.0233141290521664	301
piR-hsa-806921	0.0233658021498535	302
piR-hsa-153660	0.0233760973809377	303
piR-hsa-151407	0.0234567095974046	304
piR-hsa-729882	0.0234672727990481	305
piR-hsa-794847	0.0235309221661511	306
piR-hsa-803602	0.0236686203073151	307
piR-hsa-131266	0.0236890711408634	308
piR-hsa-132702	0.023793091257728	309
piR-hsa-182988	0.0238709542856495	310
piR-hsa-106808	0.0240804622124842	311
piR-hsa-178141	0.0241083041135511	312
hsa-mir-889	0.0242545214879614	313
hsa-mir-342	0.0243471129160035	314
piR-hsa-171546	0.0246273921711459	315
piR-hsa-779396	0.0247089855525894	316
piR-hsa-136369	0.0249107899030262	317
piR-hsa-791192	0.0249896117957279	318
piR-hsa-176013	0.0252411387624287	319
hsa-mir-378i	0.0252687625986325	320
piR-hsa-35528	0.0255263382674512	321
piR-hsa-2857137	0.0258421715624355	322
piR-hsa-182996	0.02589840864418	323
piR-hsa-2844708	0.0262789830193707	324
piR-hsa-2829800	0.026344774747998	325
hsa-mir-7847	0.026401120094052	326
piR-hsa-143639	0.0265838025389515	327
hsa-let-7a-3	0.0266756876547138	328
hsa-mir-1306	0.0267422887261842	329
piR-hsa-178768	0.0268473971140613	330
piR-hsa-401071	0.026911253313917	331
piR-hsa-193067	0.0270711495575531	332
piR-hsa-717823	0.0272925947044529	333
piR-hsa-730094	0.027431958681642	334
piR-hsa-135738	0.027544049130989	335
piR-hsa-406307	0.0276157582000131	336
piR-hsa-707596	0.0277837623356208	337
hsa-mir-99b	0.0279537786036562	338
hsa-mir-4732	0.0279625902642762	339
piR-hsa-180511	0.0279711940549114	340
hsa-mir-378d-1	0.0280102920603187	341
piR-hsa-782968	0.0280933218961292	342
piR-hsa-390249	0.0280934531588186	343
piR-hsa-381234	0.0281184449063227	344
piR-hsa-792451	0.0284051342158072	345
piR-hsa-747092	0.028449463545676	346
piR-hsa-399098	0.0285315849266068	347
hsa-mir-1-1	0.0287211930617598	348
piR-hsa-344150	0.0288418912857216	349
hsa-mir-181a-1	0.0291266265367971	350
piR-hsa-2866660	0.029131267737254	351
hsa-mir-942	0.0291794932802338	352
piR-hsa-744604	0.0293057079473832	353
piR-hsa-176641	0.0293643032160832	354
hsa-mir-4448	0.0298014414709326	355
piR-hsa-154463	0.029860317427004	356
piR-hsa-2845621	0.0300009893190018	357
piR-hsa-402027	0.0300409055879092	358
piR-hsa-343890	0.0300491478140579	359
hsa-mir-125a	0.0304375683602112	360
piR-hsa-2707174	0.0312749749595205	361
piR-hsa-308932	0.0312810654332062	362
hsa-let-7f-1	0.0314163165704403	363
piR-hsa-364091	0.031453739370567	364
hsa-mir-5100	0.0314706865846284	365
piR-hsa-187977	0.0315272464991437	366
piR-hsa-720820	0.0320705226168648	367
hsa-mir-6529	0.0323666811301245	368
piR-hsa-391083	0.0325474799567029	369
hsa-let-7e	0.0329118667432563	370
hsa-mir-107	0.0331929588074739	371
piR-hsa-403259	0.0332376736500316	372
piR-hsa-168502	0.033368876975119	373
piR-hsa-163087	0.0334649605872181	374
piR-hsa-720750	0.0336740773452386	375
piR-hsa-1282609	0.0337853999590727	376
piR-hsa-372142	0.0339781334690462	377
piR-hsa-144384	0.0341963932403605	378
hsa-mir-1-2	0.0346218776964821	379
piR-hsa-142462	0.0348201315542268	380
hsa-mir-134	0.0349160986582002	381
piR-hsa-185744	0.0349367840168005	382
piR-hsa-782872	0.0351351015577263	383
piR-hsa-146656	0.035194004159168	384
hsa-mir-374a	0.0352611880168431	385
hsa-mir-92b	0.0352776347617571	386
piR-hsa-149693	0.0353858647699341	387
piR-hsa-132352	0.0355822982678267	388
hsa-let-7f-2	0.0358634748406948	389
piR-hsa-806424	0.0359596319016136	390
piR-hsa-804421	0.0360288000515925	391
piR-hsa-1800335	0.036199701639625	392
piR-hsa-150464	0.0362315144754529	393
piR-hsa-263373	0.0363534926744298	394
hsa-mir-138-1	0.0363606872250581	395
piR-hsa-757795	0.0364551851791453	396
piR-hsa-155165	0.0367066267376406	397
piR-hsa-157233	0.0368285234728904	398
hsa-mir-95	0.036927729474457	399
piR-hsa-363133	0.036987349872206	400
piR-hsa-139070	0.0369906156294099	401
piR-hsa-154669	0.0370477606226186	402
piR-hsa-334140	0.0371015369472301	403
hsa-let-7a-1	0.0374130829373995	404
piR-hsa-2864966	0.0374758251863812	405
piR-hsa-790993	0.0376710195157777	406
piR-hsa-797067	0.0377279723278514	407
piR-hsa-757869	0.0377739444670906	408
hsa-mir-4800	0.0380045207245825	409
piR-hsa-169029	0.0384400500881993	410
piR-hsa-592685	0.0385140523485469	411
hsa-mir-181a-2	0.0386485326889726	412
hsa-mir-1277	0.0388774027746591	413
piR-hsa-159594	0.0389457944459316	414
piR-hsa-173046	0.0391090693295116	415
piR-hsa-353247	0.0391219439595015	416
hsa-mir-4444-1	0.0399183277352172	417
piR-hsa-154010	0.0403102235598881	418
piR-hsa-406388	0.0403687650253093	419
piR-hsa-164084	0.0411104844349307	420
hsa-mir-29b-1	0.0411466117461089	421
piR-hsa-738539	0.041352629862185	422
piR-hsa-177678	0.0414181240666082	423
piR-hsa-783376	0.0415970454315084	424
hsa-mir-337	0.0416503971009925	425
piR-hsa-176355	0.0416748127460509	426
piR-hsa-763061	0.0416767061663212	427
piR-hsa-768163	0.04197949108275	428
piR-hsa-155370	0.0423083552791561	429
hsa-let-7c	0.0423438104962239	430
piR-hsa-2831670	0.0429390314503843	431
hsa-mir-106a	0.0432989005135155	432
piR-hsa-3286575	0.0437260585664253	433
piR-hsa-808228	0.0443238388882241	434
piR-hsa-134706	0.0443239395831912	435
piR-hsa-2829186	0.0444611187800208	436
piR-hsa-776741	0.0446747789944816	437
piR-hsa-753745	0.0453497235136202	438
piR-hsa-805770	0.0456116905429558	439
piR-hsa-2798005	0.0456547441460892	440
piR-hsa-2867513	0.0457167679951837	441
piR-hsa-335504	0.0457278783672152	442
piR-hsa-138233	0.0457465725508247	443
piR-hsa-1325001	0.0458815662231679	444
piR-hsa-143434	0.0461591016949079	445
hsa-mir-324	0.047009236438176	446
piR-hsa-2836733	0.0470713522976487	447
hsa-mir-369	0.0471089062564393	448
piR-hsa-761387	0.0473149360343716	449
hsa-mir-539	0.0478377180893189	450
piR-hsa-149918	0.0482684428501386	451
piR-hsa-183449	0.0483173120827113	452
piR-hsa-801335	0.048417398649911	453
piR-hsa-787085	0.049427893872707	454
piR-hsa-145998	0.0502183202181516	455
piR-hsa-807157	0.0502456352055702	456
piR-hsa-791193	0.0509852327599813	457
piR-hsa-649049	0.051130330504693	458
piR-hsa-302109	0.051443016878793	459
piR-hsa-130814	0.0518512945621227	460
piR-hsa-159986	0.0518812330381533	461
piR-hsa-411016	0.0521173508957168	462
piR-hsa-177939	0.0522883991409287	463
piR-hsa-779272	0.0523085089935079	464
piR-hsa-803256	0.052696295137372	465
piR-hsa-145683	0.0529444917526138	466
hsa-mir-146b	0.0530123319163238	467
piR-hsa-355365	0.0531734268109165	468
piR-hsa-391639	0.0532966954807561	469
piR-hsa-156167	0.0536217109392482	470
piR-hsa-396359	0.0537180755082596	471
piR-hsa-794758	0.0542205577878088	472
piR-hsa-764677	0.0543736273132998	473
hsa-mir-195	0.0549808170185194	474
hsa-mir-31	0.0551492531981824	475
piR-hsa-143983	0.0554223401285457	476
piR-hsa-734877	0.0554812620982886	477
piR-hsa-468713	0.0554966815139035	478
piR-hsa-804393	0.0565997985375821	479
hsa-mir-218-2	0.0569048764209794	480
piR-hsa-172946	0.056948569935995	481
piR-hsa-136819	0.0569907042875925	482
piR-hsa-85672	0.0570192142415719	483
piR-hsa-112592	0.0570483318984979	484
piR-hsa-776281	0.0573670791074354	485
hsa-mir-4433b	0.0574379966057191	486
piR-hsa-407309	0.0580110178780833	487
hsa-mir-378b	0.0582392554454421	488
piR-hsa-162528	0.0583057166811527	489
hsa-mir-126	0.0584359978489647	490
piR-hsa-1284796	0.0589209981408366	491
piR-hsa-156657	0.0595434704683155	492
hsa-mir-26b	0.0598988504975025	493
piR-hsa-783069	0.0602036020413379	494
piR-hsa-168314	0.0602760508175164	495
piR-hsa-1300206	0.0606226234945415	496
piR-hsa-760773	0.0612742319893817	497
piR-hsa-148060	0.0615461116947471	498
piR-hsa-385818	0.0618232462432262	499
piR-hsa-2858505	0.0619377074443734	500
hsa-mir-452	0.0619660844961015	501
hsa-mir-501	0.0622019525381792	502
piR-hsa-800996	0.062358085672901	503
piR-hsa-733468	0.0625209947327585	504
hsa-mir-325	0.0627735222975769	505
piR-hsa-407923	0.0631307911455827	506
piR-hsa-131175	0.0632563028749423	507
piR-hsa-383575	0.0633995438864537	508
piR-hsa-230660	0.0635021249623959	509
hsa-mir-548k	0.0637096232194356	510
piR-hsa-804175	0.063850700885872	511
hsa-mir-424	0.0641541303378556	512
hsa-mir-223	0.0645068247139605	513
hsa-mir-124-1	0.0645944428308884	514
piR-hsa-135531	0.0649707009345043	515
piR-hsa-145564	0.0658315247495607	516
piR-hsa-385746	0.0658362422367742	517
piR-hsa-163844	0.0659627693841859	518
piR-hsa-2761549	0.0660670838066189	519
piR-hsa-5101061	0.0661361972311542	520
piR-hsa-3721624	0.0661979073475888	521
piR-hsa-782835	0.0670089587172868	522
piR-hsa-159327	0.0670583691941587	523
piR-hsa-67095	0.0671261646666425	524
hsa-mir-301a	0.0674419349517524	525
hsa-mir-137	0.0675781935799732	526
piR-hsa-2727876	0.0679206460305535	527
